"order","identifier","title","content"
"1","introduction","model.introduction.title","model.introduction.content"
"2","create_model","model.create_model.title","model.create_model.content"
"3","static_properties","model.static_properties.title","model.static_properties.content"
"4","table","model.table.title","model.table.content"
"5","restrict_columns","model.restrict_columns.title","model.restrict_columns.content"
"6","properties_type","model.properties_type.title","model.properties_type.content"
"7","linked_property","model.linked_property.title","model.linked_property.content"
"8","string_tree","model.string_tree.title","model.string_tree.content"
"9","collection","model.collection.title","model.collection.content"
"10","static_methods","model.static_methods.title","model.static_methods.content"
"11","methods","model.methods.title","model.methods.content"